curso,no_ies,est,mun,val
FISIOTERAPIA,Faculdade Pit?oras de Fortaleza,CE,Fortaleza,1722.81
ENGENHARIA QU?ICA,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1720.07
ARQUITETURA E URBANISMO,FACULDADE DELTA,BA,Salvador,1718
DIREITO,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1715
ENGENHARIA QU?ICA,FACULDADE DELTA,BA,Salvador,1714
PSICOLOGIA,FACULDADE UNINASSAU FORTALEZA,PE,Recife,1713.82
ENGENHARIA CIVIL,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,1707.47
ENGENHARIA CIVIL,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1706.02
CI?CIAS BIOL?ICAS,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1705.35
CI?CIAS CONT?BEIS,FACULDADE UNIME DE CI?CIAS SOCIAIS,BA,Lauro de Freitas,1700.53
DIREITO,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1697.49
ENGENHARIA EL?RICA,UNIVERSIDADE POTIGUAR,RN,Natal,1693.6
ENGENHARIA EL?RICA,UNIVERSIDADE SALVADOR,BA,Salvador,1692.93
FARM?CIA,UNIVERSIDADE POTIGUAR,RN,Natal,1689.58
ENFERMAGEM,Faculdade da Regi? Sisaleira,BA,Concei?o do Coit?,1685.9
