curso,no_ies,est,mun,val
ADMINISTRA?O,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1036.73
ENFERMAGEM,FACULDADE S? FRANCISCO DE JUAZEIRO,BA,Juazeiro,1036.21
ENGENHARIA DE PRODU?O,Centro Universit?io Fametro,CE,Fortaleza,1035.91
CI?CIAS CONT?BEIS,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1035.64
ENFERMAGEM,FACULDADE UNINASSAU NATAL,RN,Natal,1035.44
ENFERMAGEM,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,1033.08
ENGENHARIA DE PRODU?O,FACULDADE SANT?SIMO SACRAMENTO,BA,Salvador,1032.65
DIREITO,FACULDADE DO VALE DO ITAPECUR?,MA,Caxias,1031.26
ENGENHARIA EL?RICA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1031.06
ENFERMAGEM,INSTITUTO FLORENCE DE ENSINO SUPERIOR,MA,S? Lu?,1030.72
NUTRI?O,FACULDADE SANTA TEREZINHA,MA,S? Lu?,1030.05
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1029.46
PSICOLOGIA,INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANH?,MA,Imperatriz,1029.31
DIREITO,FACULDADE VALE DO SALGADO,CE,Juazeiro do Norte,1028.23
FARM?CIA,Faculdade Rebou?s de Campina Grande,PB,Campina Grande,1027.42
FISIOTERAPIA,FACULDADE DE CI?CIAS E EMPREENDEDORISMO,BA,Santo Ant?io de Jesus,1026.58
ARQUITETURA E URBANISMO,FACULDADE UNINASSAU TERESINA,PI,Teresina,1025.75
FISIOTERAPIA,INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANH?,MA,Imperatriz,1024.98
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1024.03
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1022.83
CI?CIAS CONT?BEIS,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,1022.06
FISIOTERAPIA,FACULDADE UNINASSAU TERESINA,PI,Teresina,1021.98
SISTEMAS DE INFORMA?O,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1021.36
BIOMEDICINA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1021.08
BIOMEDICINA,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1020.49
NUTRI?O,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1020.49
ENGENHARIA MEC?ICA,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1020
ENGENHARIA EL?RICA,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1020
EDUCA?O F?ICA,Centro Universit?io FG,BA,Guanambi,1019.8
FISIOTERAPIA,FACULDADE DO SUL DA BAHIA,BA,Teixeira de Freitas,1019.56
FISIOTERAPIA,FACULDADE MADRE THAIS,BA,Ilh?s,1019.53
DIREITO,iCEV - Instituto de Ensino Superior,PI,Teresina,1019.36
FARM?CIA,FACULDADE ANGLO-AMERICANO DE JO? PESSOA,PB,Jo? Pessoa,1019
DIREITO,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,1018.02
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1018
PSICOLOGIA,FACULDADE UNINASSAU NATAL,RN,Natal,1017.95
EDUCA?O F?ICA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1017.63
NUTRI?O,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,1017.47
ENGENHARIA DE PRODU?O,FACULDADE DE TECNOLOGIA DE VALEN?,BA,Valen?,1014.59
BIOMEDICINA,Centro Universit?io Tiradentes de Pernambuco,PE,Recife,1013.42
PSICOLOGIA,FACULDADE DE CI?CIAS E EMPREENDEDORISMO,BA,Santo Ant?io de Jesus,1013.07
ENGENHARIA MEC?ICA,Faculdade UNIRB - ARACAJU,SE,Aracaju,1011.16
ENGENHARIA DE PETR?EO,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1010.62
NUTRI?O,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,1010.12
PSICOLOGIA,FACULDADE PERNAMBUCANA DE SA?E,PE,Recife,1009.35
NUTRI?O,CENTRO DE ENSINO SUPERIOR DE ILH?S,BA,Ilh?s,1009.16
ENFERMAGEM,FACULDADE MADRE THAIS,BA,Ilh?s,1008.9
ENGENHARIA QU?ICA,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,1008.72
GASTRONOMIA,FACULDADE MADRE THAIS,BA,Ilh?s,1008.66
ENGENHARIA MEC?ICA,Faculdade Integral Diferencial Wyden,CE,Fortaleza,1008.31
CINEMA E AUDIOVISUAL,FACULDADES INTEGRADAS BARROS MELO,PE,Olinda,1007.68
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU ARACAJU,SE,Aracaju,1006.48
ENFERMAGEM,FACULDADE DA SEUNE,AL,Macei?,1005.66
ENGENHARIA EL?RICA,Centro Universit?io da Amaz?ia,PB,Campina Grande,1004.12
DIREITO,"FACULDADE DE FILOSOFIA, CI?CIAS E LETRAS DE CAJAZEIRAS",PB,Cajazeiras,1004
FISIOTERAPIA,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1004
DIREITO,FACULDADE CNEC CAMPO LARGO,PB,Jo? Pessoa,1003.92
ENFERMAGEM,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,1003
BIOMEDICINA,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1002.14
DIREITO,FACULDADE UNINASSAU NATAL,RN,Natal,1001.64
NUTRI?O,FACULDADE UNINASSAU S? LU?,SE,Aracaju,1001.15
FISIOTERAPIA,INSTITUTO DE EDUCA?O SUPERIOR RAIMUNDO S?,PI,Picos,1000
ENFERMAGEM,CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,1000
ENFERMAGEM,Faculdade Cesmac do Sert?,AL,Macei?,1000
CI?CIA DA COMPUTA?O,UNIVERSIDADE TIRADENTES,SE,Aracaju,999
DIREITO,Faculdade Integral Diferencial Wyden,CE,Fortaleza,998.18
PSICOLOGIA,FACULDADE UNINASSAU S? LU?,SE,Aracaju,997.8
DIREITO,FACULDADE DE CI?CIAS HUMANAS E EXATAS DO SERT? DO S? FRANCISCO,PE,Bel? do S? Francisco,997.78
FARM?CIA,CENTRO UNIVERSIT?RIO DOM PEDRO II,BA,Salvador,997.57
PSICOLOGIA,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,997.37
NUTRI?O,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,996.96
BIOMEDICINA,FACULDADE UNINASSAU FORTALEZA,PE,Recife,996.41
ENGENHARIA AGRON?ICA,FACULDADE IREC?,BA,Irec?,996.32
HIST?IA,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,995.49
ENFERMAGEM,FACULDADE UNINASSAU S? LU?,SE,Aracaju,995.22
ENGENHARIA QU?ICA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,994.58
ENGENHARIA DE PRODU?O,FACULDADE PARA?O DO CEAR?,CE,Juazeiro do Norte,993.93
ENGENHARIA CIVIL,FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,993.29
JORNALISMO,Centro Universit?io FG,BA,Guanambi,992.03
ENFERMAGEM,Faculdade de Ci?cias e Sa?de Edufor,CE,Fortaleza,992
ENGENHARIA CIVIL,FACULDADE SANTA MARIA,PB,Cajazeiras,991.52
ARQUITETURA E URBANISMO,FACULDADE SANTA MARIA,PB,Cajazeiras,991.52
RADIOLOGIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,988.14
ENGENHARIA DE PRODU?O,FACULDADE H?IO ROCHA,BA,Salvador,988
FISIOTERAPIA,Faculdade Unirb - Mossor?,RN,Mossor?,987.45
FISIOTERAPIA,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,987.16
DIREITO,FACUDADE IEDUCARE - FIED,CE,Tiangu?,986.7
CI?CIA DA COMPUTA?O,CENTRO UNIVERSIT?RIO DA GRANDE FORTALEZA,CE,Fortaleza,985.56
DIREITO,FACULDADE DE EDUCA?O SANTA TEREZINHA,MA,Imperatriz,985
AGRONOMIA,CENTRO UNIVERSIT?RIO ARNALDO HOR?CIO FERREIRA,BA,Lu? Eduardo Magalh?s,985
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO ARNALDO HOR?CIO FERREIRA,BA,Lu? Eduardo Magalh?s,985
FARM?CIA,FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,984.69
FARM?CIA,Centro Universit?io Joaquim Nabuco de Paulista,PE,Recife,983.2
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,982.2
FARM?CIA,INSTITUTO DE ENSINO SUPERIOR DE TERESINA,PI,Teresina,981.09
DIREITO,FACULDADE DE INTEGRA?O DO SERT?,PE,Serra Talhada,980
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,979.34
NUTRI?O,FACULDADE DO VALE DO JAGUARIBE,CE,Aracati,979
DIREITO,FACULDADE DA SEUNE,AL,Macei?,978.33
FISIOTERAPIA,FACULDADE DE INTEGRA?O DO SERT?,PE,Serra Talhada,978.33
ENGENHARIA DE PRODU?O,FACULDADE UNINASSAU CARUARU,PE,Recife,978.15
ENFERMAGEM,INSTITUTO DE ENSINO SUPERIOR M?TIPLO,MA,Timon,977.99
DIREITO,FACULDADE CNEC ITABORA?,PB,Jo? Pessoa,977.84
ADMINISTRA?O,UNIVERSIDADE SALVADOR,BA,Salvador,976.43
ENGENHARIA MEC?ICA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,976.29
ENFERMAGEM,FACULDADE DO MARANH?,MA,S? Lu?,976.23
ADMINISTRA?O,FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,974
NUTRI?O,Centro Universit?io FACEX,RN,Natal,973.25
FONOAUDIOLOGIA,UNIVERSIDADE POTIGUAR,RN,Natal,972.96
FARM?CIA,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,972.9
FISIOTERAPIA,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,972.26
DIREITO,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,971.66
FARM?CIA,FACULDADE UNINASSAU CARUARU,PE,Recife,969.28
PSICOLOGIA,Centro Universit?io FACEX,RN,Natal,969
NUTRI?O,UNIVERSIDADE TIRADENTES,SE,Aracaju,969
ENGENHARIA CIVIL,FACULDADE EST?CIO DE JO? PESSOA - EST?CIO DE JO? PESSOA,PB,Jo? Pessoa,967.89
ENGENHARIA DE PRODU?O,FACULDADE DO VALE DO ITAPECUR?,MA,Caxias,967.01
ENGENHARIA DE CONTROLE E AUTOMA?O,Centro Universit?io Fanor Wyden,CE,Fortaleza,965.95
PSICOLOGIA,CENTRO DE ENSINO SUPERIOR DE ILH?S,BA,Ilh?s,965.4
SISTEMAS DE INFORMA?O,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,965.1
AGRONOMIA,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,964.25
DIREITO,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,964.25
FISIOTERAPIA,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,964.25
ODONTOLOGIA,"",PB,Patos,963.55
ENGENHARIA DE PRODU?O,FASS - FACULDADE SOCIAL SUL AMERICANA,BA,Lauro de Freitas,963.08
EDUCA?O F?ICA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,962.91
ENFERMAGEM,FACITEN - FACULDADE DE CI?CIAS E TECNOLOGIAS DE NATAL,PB,Jo? Pessoa,962.35
SISTEMAS DE INFORMA?O,UNIVERSIDADE TIRADENTES,SE,Aracaju,962.33
PSICOLOGIA,FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,961.82
ADMINISTRA?O,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,960.63
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,960.53
ENGENHARIA DE PRODU?O,INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,960.49
FARM?CIA,FACULDADE DE INTEGRA?O DO SERT?,PE,Serra Talhada,960
PSICOLOGIA,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,959.92
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,Centro Universit?io FBV Wyden,CE,Fortaleza,959.63
DIREITO,FACULDADE NATALENSE DE ENSINO E CULTURA,PB,Jo? Pessoa,958.53
ENFERMAGEM,FACUDADE IEDUCARE - FIED,CE,Tiangu?,957.74
DIREITO,Centro Universit?io da Amaz?ia,PB,Campina Grande,957.29
ENFERMAGEM,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,956.81
FONOAUDIOLOGIA,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,955.13
PSICOLOGIA,FACULDADE EVOLU?O ALTO OESTE POTIGUAR,RN,Pau dos Ferros,954.75
FARM?CIA,FACULDADE DE CI?CIAS SOCIAIS APLICADAS,BA,Itamaraju,954.21
DESIGN,UNIVERSIDADE SALVADOR,BA,Salvador,952.65
FARM?CIA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,951.97
ENFERMAGEM,FACULDADE UNINASSAU ARACAJU,SE,Aracaju,951.82
BIOMEDICINA,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,951.74
FISIOTERAPIA,CENTRO UNIVERSIT?RIO DOM PEDRO II,BA,Salvador,951.38
ADMINISTRA?O,FACULDADE S? FRANCISCO DE JUAZEIRO,BA,Juazeiro,950.37
NUTRI?O,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,950.34
DIREITO,Faculdade do Maci? do Baturit?,CE,Maracana?,950
ENFERMAGEM,FACULDADE DE INTEGRA?O DO SERT?,PE,Serra Talhada,950
PSICOLOGIA,Centro Universit?io FBV Wyden,CE,Fortaleza,949.76
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU CARUARU,PE,Recife,949.27
ENGENHARIA DE PRODU?O,UNIVERSIDADE TIRADENTES,SE,Aracaju,949
FISIOTERAPIA,CENTRO UNIVERSIT?RIO S? MIGUEL,PE,Recife,946.86
RELA?ES INTERNACIONAIS,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,945.87
CI?CIA DA COMPUTA?O,UNIVERSIDADE SALVADOR,BA,Salvador,944.72
ENFERMAGEM,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,944.46
ARQUITETURA E URBANISMO,INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,943.03
DIREITO,CENTRO UNIVERSIT?RIO ARNALDO HOR?CIO FERREIRA,BA,Lu? Eduardo Magalh?s,943
BIOMEDICINA,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,942.95
ENFERMAGEM,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,941.76
FARM?CIA,FACULDADE MADRE THAIS,BA,Ilh?s,940
NUTRI?O,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,939.88
EDUCA?O F?ICA,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,939.12
ENFERMAGEM,INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANH?,MA,Imperatriz,938.08
DIREITO,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,BA,Eun?olis,937.68
FISIOTERAPIA,FACULDADE SANTA MARIA,PB,Cajazeiras,936.93
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU TERESINA,PI,Teresina,936.44
ADMINISTRA?O,FACULDADE FRASSINETTI DO RECIFE,PE,Recife,935.04
FISIOTERAPIA,Faculdade de Quixeramobim,CE,Quixeramobim,934.55
FISIOTERAPIA,CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,933.7
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,933
ENGENHARIA CIVIL,FACULDADE DE INTEGRA?O DO SERT?,PE,Serra Talhada,931.78
ENGENHARIA EL?RICA,FACULDADE MADRE THAIS,BA,Ilh?s,931.71
ENGENHARIA CIVIL,Faculdade de Tecnologia e Ci?cias - FTC Petrolina,BA,Salvador,931.47
ENGENHARIA EL?RICA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,931.11
CI?CIAS CONT?BEIS,CENTRO UNIVERSIT?RIO DA GRANDE FORTALEZA,CE,Fortaleza,928.01
ENFERMAGEM,FACULDADE DOM LUIS DE ORLEANS E BRAGAN?,BA,Ribeira do Pombal,927.77
NUTRI?O,CENTRO UNIVERSIT?RIO S? MIGUEL,PE,Recife,925.04
ENGENHARIA CIVIL,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,924.19
FARM?CIA,Faculdade de Tecnologia e Ci?cias,BA,Salvador,923.31
ARQUITETURA E URBANISMO,FACULDADE S? FRANCISCO DO CEAR?,PB,Cajazeiras,922.85
FISIOTERAPIA,Centro Universit?io Joaquim Nabuco de Paulista,PE,Recife,921.69
FARM?CIA,Faculdade Unirb - Barreiras,BA,Salvador,921.19
SISTEMAS DE INFORMA?O,FACULDADE DE JUAZEIRO DO NORTE,CE,Juazeiro do Norte,920.94
ENFERMAGEM,CENTRO DE ENSINO SUPERIOR DE ILH?S,BA,Ilh?s,920
ENGENHARIA EL?RICA,Centro Universit?io FBV Wyden,CE,Fortaleza,919.37
BIOMEDICINA,FACULDADE MADRE THAIS,BA,Ilh?s,919.16
ENFERMAGEM,FACULDADE DE CI?CIAS HUMANAS DE OLINDA,PE,Olinda,919.16
ENGENHARIA CIVIL,CHRISTUS FACULDADE DO PIAU?,PI,Piripiri,919
FISIOTERAPIA,CHRISTUS FACULDADE DO PIAU?,PI,Piripiri,918.86
FARM?CIA,CHRISTUS FACULDADE DO PIAU?,PI,Piripiri,918.86
ENFERMAGEM,CHRISTUS FACULDADE DO PIAU?,PI,Piripiri,918.85
DIREITO,FACULDADE INTERNACIONAL DA PARA?A,PB,Jo? Pessoa,917.17
FISIOTERAPIA,FACULDADE UNINASSAU ARACAJU,SE,Aracaju,916.98
PSICOLOGIA,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,916.75
BIOMEDICINA,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,915.75
ENGENHARIA AGRON?ICA,Faculdade Unirb - Barreiras,BA,Salvador,914.35
ENGENHARIA CIVIL,Faculdade Unirb - Barreiras,BA,Salvador,913.64
BIOMEDICINA,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,913.07
ARQUITETURA E URBANISMO,FACULDADE UNINASSAU PARNA?A,PI,Parna?a,911.71
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,911.34
PSICOLOGIA,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,909.97
NUTRI?O,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,908.8
ENGENHARIA MEC?ICA,UNIVERSIDADE TIRADENTES,SE,Aracaju,908.03
PSICOLOGIA,FACULDADE UNINASSAU PARNA?A,PI,Parna?a,907.16
FISIOTERAPIA,Faculdade de Ci?cias e Sa?de Edufor,CE,Fortaleza,906.54
ENGENHARIA DE CONTROLE E AUTOMA?O,Faculdade Pit?oras da Para?a,PB,Jo? Pessoa,905.05
ENGENHARIA DE PRODU?O,FACULDADE DE ADMINISTRA?O E NEG?IOS DE SERGIPE,SE,Aracaju,905
FARM?CIA,FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,904.74
ENGENHARIA CIVIL,Faculdade de Ci?cias e Sa?de Edufor,CE,Fortaleza,902.76
BIOMEDICINA,Centro Universit?io Favip Wyden,PE,Caruaru,902.53
DIREITO,FACULDADE DE ENSINO SUPERIOR DA PARA?A,PB,Cabedelo,902.5
ENGENHARIA EL?RICA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,901.83
SISTEMAS DE INFORMA?O,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,900.89
FARM?CIA,FACULDADE UNINASSAU MANAUS,PE,Recife,900.38
RELA?ES INTERNACIONAIS,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,899.92
ENGENHARIA CIVIL,Faculdade da Regi? Sisaleira,BA,Concei?o do Coit?,899.34
ADMINISTRA?O,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,898.13
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,FACULDADES INTEGRADAS BARROS MELO,PE,Olinda,897.25
JORNALISMO,FACULDADE SOCIAL DA BAHIA,BA,Salvador,896.97
TERAPIA OCUPACIONAL,Faculdade Integral Diferencial Wyden,CE,Fortaleza,895.6
DIREITO,FACULDADE DE CI?CIAS SOCIAIS APLICADAS,BA,Itamaraju,893.37
CI?CIA DA COMPUTA?O,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,893.28
ENFERMAGEM,Centro Universit?io Fanor Wyden,CE,Fortaleza,892.5
COMUNICA?O SOCIAL - JORNALISMO,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,891.03
ENGENHARIA CIVIL,Faculdade Dom Pedro II de Sergipe,BA,Salvador,889.2
ADMINISTRA?O,FACULDADE SOCIAL DA BAHIA,BA,Salvador,888.77
ENFERMAGEM,Centro Universit?io FBV Wyden,CE,Fortaleza,887.52
ENGENHARIA EL?RICA,Faculdade de Tecnologia e Ci?cias - FTC Petrolina,BA,Salvador,887.42
ENFERMAGEM,FACULDADE SOCIAL DA BAHIA,BA,Salvador,887.36
NUTRI?O,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,886.41
BIOMEDICINA,FACULDADE SANTA MARIA,PB,Cajazeiras,885.46
PSICOLOGIA,FACULDADE SANTA MARIA,PB,Cajazeiras,885.46
PSICOLOGIA,Faculdade Integral Diferencial Wyden,CE,Fortaleza,883.88
NUTRI?O,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,883.43
ENGENHARIA DE PRODU?O,FACULDADE DE TECNOLOGIA DE ALAGOAS,AL,Macei?,883.05
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA DE ALAGOAS,AL,Macei?,883.05
FARM?CIA,CENTRO UNIVERSIT?RIO S? MIGUEL,PE,Recife,882.29
MODA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,882.25
FISIOTERAPIA,FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,881.96
PSICOLOGIA,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,881.52
SERVI? SOCIAL,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,881.5
EDUCA?O F?ICA,INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,879.88
FARM?CIA,FACULDADE UNINASSAU NATAL,RN,Natal,879.86
ENFERMAGEM,INSTITUTO DE ENSINO SUPERIOR FRANCISCANO,MA,Pa? do Lumiar,878.39
EDUCA?O F?ICA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,877.67
DIREITO,FACULDADE IREC?,BA,Irec?,877.51
ENFERMAGEM,Centro Universit?io Joaquim Nabuco de Recife,PE,Recife,877.25
ENGENHARIA AMBIENTAL,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,877.25
ENGENHARIA DE PRODU?O,UNIVERSIDADE SALVADOR,BA,Salvador,877.1
EDUCA?O F?ICA,FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,876.4
PSICOLOGIA,CENTRO UNIVERSIT?RIO ARNALDO HOR?CIO FERREIRA,BA,Lu? Eduardo Magalh?s,875
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,873.32
FISIOTERAPIA,FACULDADE METROPOLITANA DA GRANDE RECIFE,PE,Jaboat? dos Guararapes,873.01
FISIOTERAPIA,FACUDADE IEDUCARE - FIED,CE,Tiangu?,872.63
ENGENHARIA DE PRODU?O,Faculdade da Regi? Sisaleira,BA,Concei?o do Coit?,872.27
ADMINISTRA?O,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,870
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO DA GRANDE FORTALEZA,CE,Fortaleza,869.73
ADMINISTRA?O P?LICA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,869.27
ENGENHARIA DE PRODU?O,Faculdade Dom Pedro II de Sergipe,BA,Salvador,868.86
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,868.67
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,868.08
SISTEMAS DE INFORMA?O,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,865.07
SERVI? SOCIAL,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,864.48
ADMINISTRA?O,FACULDADE ADVENTISTA DA BAHIA,PE,Jaboat? dos Guararapes,864.38
EST?ICA E COSM?ICA,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,860.26
SERVI? SOCIAL,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,859
CI?CIAS CONT?BEIS,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,859
RADIOLOGIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,857.11
SISTEMAS DE INFORMA?O,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,855.4
ENFERMAGEM,FACULDADE DE CI?CIAS SOCIAIS APLICADAS,BA,Itamaraju,854.87
NUTRI?O,FACULDADE MARIA MILZA,BA,Cruz das Almas,853.82
CI?CIA DA COMPUTA?O,FACULDADE LOUREN? FILHO,CE,Fortaleza,853.68
DIREITO,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,852.46
SISTEMAS DE INFORMA?O,UNIVERSIDADE POTIGUAR,RN,Natal,851.31
ARQUITETURA E URBANISMO,FACULDADE MADRE THAIS,BA,Ilh?s,851.2
BIOMEDICINA,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,850.22
FISIOTERAPIA,FACULDADE CNEC SANTO ?GELO,PB,Jo? Pessoa,850.07
RADIOLOGIA,Faculdade Pit?oras de Fortaleza,CE,Fortaleza,848.59
