curso,est,mun,qtd
CI?CIAS CONT?BEIS,BA,Ilh?s,23
EDUCA?O F?ICA,PE,Caruaru,22
PEDAGOGIA,BA,Juazeiro,22
FISIOTERAPIA,BA,Cruz das Almas,22
CI?CIAS CONT?BEIS,PB,Cajazeiras,22
BIOMEDICINA,PB,Cajazeiras,22
ENGENHARIA QU?ICA,BA,Feira de Santana,22
ARQUITETURA E URBANISMO,PB,Campina Grande,22
PSICOLOGIA,CE,Aracati,22
JORNALISMO,BA,Salvador,22
ADMINISTRA?O,BA,Guanambi,22
ADMINISTRA?O,BA,Santo Ant?io de Jesus,22
ENGENHARIA CIVIL,BA,Concei?o do Coit?,22
ADMINISTRA?O,BA,Alagoinhas,21
ODONTOLOGIA,PI,Floriano,21
SISTEMA DE INFORMA?O,BA,Paulo Afonso,21
CI?CIAS BIOL?ICAS,BA,Salvador,21
NUTRI?O,CE,Quixad?,21
ENGENHARIA CIVIL,CE,Quixad?,21
EST?ICA E COSM?ICA,CE,Fortaleza,21
FISIOTERAPIA,BA,Barreiras,21
ENFERMAGEM,MA,Imperatriz,21
CI?CIAS CONT?BEIS,PI,Picos,21
PEDAGOGIA,BA,Feira de Santana,21
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,BA,Feira de Santana,21
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,PB,Jo? Pessoa,21
SERVI? SOCIAL,PI,Teresina,21
SISTEMAS DE INFORMA?O,CE,Juazeiro do Norte,21
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,BA,Juazeiro,20
PEDAGOGIA,MA,Chapadinha,20
EDUCA?O F?ICA,RN,Natal,20
PEDAGOGIA,BA,Alagoinhas,20
SERVI? SOCIAL,PI,Picos,20
CI?CIAS CONT?BEIS,PB,Campina Grande,20
MEDICINA VETERIN?RIA,RN,Natal,20
BIOMEDICINA,BA,Paulo Afonso,20
PEDAGOGIA,BA,Santo Ant?io de Jesus,20
BIOMEDICINA,BA,Teixeira de Freitas,20
MEDICINA,BA,Guanambi,20
ADMINISTRA?O,CE,Juazeiro do Norte,20
CI?CIA DA COMPUTA?O,PB,Jo? Pessoa,20
PEDAGOGIA,BA,Coronel Jo? S?,20
PEDAGOGIA,PB,Cajazeiras,20
ENFERMAGEM,CE,Tiangu?,19
ADMINISTRA?O,CE,Sobral,19
ADMINISTRA?O,BA,Ilh?s,19
ENGENHARIA DE PRODU?O,AL,Macei?,19
FONOAUDIOLOGIA,PB,Jo? Pessoa,19
ARQUITETURA E URBANISMO,CE,Quixad?,19
ENGENHARIA AGRON?ICA,BA,Irec?,19
PEDAGOGIA,PE,Recife,19
ENFERMAGEM,PE,Escada,18
SERVI? SOCIAL,PB,Cajazeiras,18
DIREITO,PE,Jaboat? dos Guararapes,18
NUTRI?O,CE,Aracati,18
ARQUITETURA E URBANISMO,CE,Fortaleza,18
ADMINISTRA?O,PB,Campina Grande,18
ENGENHARIA EL?RICA,AL,Macei?,18
DIREITO,BA,Itamaraju,17
ENGENHARIA DE PRODU?O,BA,Vit?ia da Conquista,17
DIREITO,PI,Parna?a,17
ENGENHARIA EL?RICA,CE,Fortaleza,17
SERVI? SOCIAL,PI,Floriano,17
FISIOTERAPIA,MA,Imperatriz,17
EDUCA?O F?ICA,PI,Parna?a,17
NUTRI?O,BA,Cruz das Almas,17
ADMINISTRA?O,PE,Vit?ia de Santo Ant?,17
SISTEMAS DE INFORMA?O,CE,Quixad?,16
ADMINISTRA?O,AL,Macei?,16
PEDAGOGIA,RN,Natal,16
EDUCA?O F?ICA,CE,Aracati,16
RADIOLOGIA,CE,Fortaleza,16
PSICOLOGIA,BA,Barreiras,16
ADMINISTRA?O,CE,Quixad?,16
SERVI? SOCIAL,PE,Recife,16
EDUCA?O F?ICA,MA,Caxias,16
BIOMEDICINA,PB,Patos,15
DIREITO,BA,Lu? Eduardo Magalh?s,15
ENGENHARIA CIVIL,PI,Piripiri,15
ENGENHARIA DE PRODU?O,CE,Juazeiro do Norte,15
ENGENHARIA CIVIL,BA,Irec?,15
ARQUITETURA E URBANISMO,AL,Macei?,15
ODONTOLOGIA,PE,Vit?ia de Santo Ant?,15
CI?CIAS CONT?BEIS,PE,Timba?ba,14
FARM?CIA,CE,Quixeramobim,14
BIOMEDICINA,PE,Caruaru,14
NUTRI?O,PE,Caruaru,14
NUTRI?O,PE,Olinda,14
ENGENHARIA MEC?ICA,CE,Fortaleza,14
ADMINISTRA?O,PI,Floriano,14
CI?CIAS CONT?BEIS,PE,Jaboat? dos Guararapes,14
COMUNICA?O SOCIAL - JORNALISMO,BA,Salvador,14
ADMINISTRA?O,BA,Paulo Afonso,14
CI?CIAS CONT?BEIS,MA,Chapadinha,14
ADMINISTRA?O,PE,Escada,14
SERVI? SOCIAL,PB,Patos,13
PSICOLOGIA,PE,Caruaru,13
CI?CIAS CONT?BEIS,CE,Quixad?,13
ENGENHARIA MEC?ICA,PE,Recife,13
ENGENHARIA MECATR?ICA,BA,Salvador,13
BIOMEDICINA,CE,Sobral,13
BIOMEDICINA,BA,Valen?,13
SERVI? SOCIAL,PI,Piripiri,13
PEDAGOGIA,PE,Jaboat? dos Guararapes,13
DIREITO,AL,Penedo,13
EDUCA?O F?ICA,PB,Patos,13
ADMINISTRA?O,CE,Aracati,13
ADMINISTRA?O,PI,Piripiri,13
PSICOLOGIA,PE,Vit?ia de Santo Ant?,13
BIOMEDICINA,PI,Teresina,13
CI?CIAS CONT?BEIS,SE,Tobias Barreto,12
BIOMEDICINA,AL,Macei?,12
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,BA,Salvador,12
ENFERMAGEM,BA,Eun?olis,12
CI?CIAS CONT?BEIS,MA,Timon,12
SERVI? SOCIAL,BA,Lauro de Freitas,12
ARQUITETURA E URBANISMO,PE,Recife,12
CI?CIAS CONT?BEIS,RN,A?,12
COMUNICA?O SOCIAL - JORNALISMO,CE,Sobral,12
ADMINISTRA?O,MA,Chapadinha,12
SISTEMAS DE INFORMA?O,SE,Aracaju,12
MEDICINA,PI,Parna?a,12
EDUCA?O F?ICA,PB,Cajazeiras,12
PEDAGOGIA,BA,Ipir?,12
FONOAUDIOLOGIA,BA,Lauro de Freitas,12
SERVI? SOCIAL,RN,Caic?,12
PSICOLOGIA,BA,Lu? Eduardo Magalh?s,12
BIOMEDICINA,BA,Ilh?s,11
ADMINISTRA?O,RN,Caic?,11
ENGENHARIA EL?RICA,BA,Vit?ia da Conquista,11
ENGENHARIA DE PRODU?O,BA,Capim Grosso,11
RADIOLOGIA,BA,Lauro de Freitas,11
LETRAS - ESPANHOL,PE,Caruaru,11
ADMINISTRA?O,PE,Timba?ba,11
CI?CIA DA COMPUTA?O,PB,Cajazeiras,11
ENGENHARIA CIVIL,PE,Caruaru,11
COMUNICA?O SOCIAL - JORNALISMO,BA,Feira de Santana,11
PEDAGOGIA,PI,Teresina,11
ADMINISTRA?O,MA,S? Lu?,11
CI?CIAS CONT?BEIS,MA,Pa? do Lumiar,11
AGRONOMIA,BA,Barreiras,11
CI?CIAS BIOL?ICAS,PE,Recife,11
ENGENHARIA AGRON?ICA,BA,Salvador,11
ENGENHARIA EL?RICA,PB,Campina Grande,11
ENGENHARIA AMBIENTAL E SANIT?RIA,CE,Fortaleza,11
ENFERMAGEM,BA,Itamaraju,11
PEDAGOGIA,PE,Timba?ba,10
ARQUITETURA E URBANISMO,PE,Vit?ia de Santo Ant?,10
CI?CIA DA COMPUTA?O,PE,Recife,10
SERVI? SOCIAL,BA,Valen?,10
CI?CIAS CONT?BEIS,PE,Serra Talhada,10
ADMINISTRA?O,MA,Timon,10
NUTRI?O,MA,Imperatriz,10
EDUCA?O F?ICA,PB,Campina Grande,10
CI?CIAS CONT?BEIS,PE,Caruaru,10
ARQUITETURA E URBANISMO,PE,Jaboat? dos Guararapes,10
SISTEMAS DE INFORMA?O,MA,Balsas,10
CI?CIA DA COMPUTA?O,CE,Fortaleza,10
PEDAGOGIA,AL,Macei?,10
ADMINISTRA?O,PI,Picos,10
SERVI? SOCIAL,CE,Sobral,10
CI?CIA DA COMPUTA?O,PE,Petrolina,10
FARM?CIA,PE,Nazar?da Mata,9
SISTEMAS DE INFORMA?O,PB,Jo? Pessoa,9
ENGENHARIA DE PRODU?O,BA,Teixeira de Freitas,9
ADMINISTRA?O,MA,Bacabal,9
ENGENHARIA MEC?ICA,PB,Jo? Pessoa,9
ENFERMAGEM,AL,P? de A?car,9
ENGENHARIA CIVIL,MA,A?il?dia,9
EDUCA?O F?ICA,PE,Olinda,9
JORNALISMO,BA,Lauro de Freitas,9
ADMINISTRA?O,BA,Coronel Jo? S?,9
ENFERMAGEM,PE,Nazar?da Mata,9
BIOMEDICINA,PB,Jo? Pessoa,9
EST?ICA E COSM?ICA,SE,Aracaju,9
HIST?IA,PE,Caruaru,9
EDUCA?O F?ICA,BA,Cruz das Almas,9
ENGENHARIA CIVIL,PI,Parna?a,9
PEDAGOGIA,PE,Caruaru,9
EST?ICA E COSM?ICA,BA,Vit?ia da Conquista,9
SERVI? SOCIAL,SE,Aracaju,9
ENGENHARIA QU?ICA,PE,Recife,9
SERVI? SOCIAL,AL,Macei?,9
FARM?CIA,MA,Caxias,8
ENGENHARIA DE PRODU?O,PE,Jaboat? dos Guararapes,8
CI?CIAS CONT?BEIS,CE,Aracati,8
GEST? DA TECNOLOGIA DA INFORMA?O,BA,Guanambi,8
SERVI? SOCIAL,CE,Quixad?,8
ADMINISTRA?O,BA,Itaberaba,8
ENGENHARIA MEC?ICA,PB,Campina Grande,8
EDUCA?O F?ICA,BA,Guanambi,8
PEDAGOGIA,PE,Vit?ia de Santo Ant?,8
ENGENHARIA CIVIL,PE,Jaboat? dos Guararapes,8
EDUCA?O F?ICA,CE,Quixad?,8
PSICOLOGIA,MA,Imperatriz,8
ADMINISTRA?O DE EMPRESAS,PE,Petrolina,8
DIREITO,PE,Salgueiro,8
SERVI? SOCIAL,RN,A?,8
SERVI? SOCIAL,MA,Chapadinha,8
CI?CIAS BIOL?ICAS,SE,Tobias Barreto,8
