no_ies,est,mun,qtd
FACULDADE UNINASSAU PETROLINA,PE,Recife,20
Faculdade Unirb - Feira de Santana,BA,Alagoinhas,19
FACULDADE UNINASSAU ARACAJU,SE,Aracaju,19
FACULDADE EST?CIO DE TERESINA,PI,Teresina,19
FOCCA - FACULDADE DE OLINDA,PE,Olinda,19
FACULDADE SANTISSIMA TRINDADE,PE,Nazar?da Mata,18
Faculdade Dom Pedro II de Barreiras,BA,Salvador,17
Faculdade de Quixeramobim,CE,Quixeramobim,17
Faculdade de Ci?cias e Sa?de Edufor,CE,Fortaleza,17
FACULDADE NATALENSE DE ENSINO E CULTURA,PB,Jo? Pessoa,17
Faculdade Unirb - Mossor?,RN,Mossor?,16
Faculdade CNEC Joinville,PB,Jo? Pessoa,16
FACULDADE REGIONAL DE RIACH? DO JACU?E,BA,Riach? do Jacu?e,16
FACULDADE CASTRO ALVES,BA,Salvador,16
FACULDADE DE ENFERMAGEM S? VICENTE DE PAULA,PB,Jo? Pessoa,15
FACULDADE DE FILOSOFIA CI?CIAS E LETRAS DE CARUARU,PE,Caruaru,15
FACULDADE VISCONDE DE CAIR?,BA,Salvador,15
FACULDADE RAIMUNDO MARINHO,AL,Penedo,14
CENTRO UNIVERSIT?RIO CENECISTA DE OS?IO,PB,Jo? Pessoa,13
FACULDADE S? FRANCISCO DO CEAR?,PB,Cajazeiras,13
FACULDADE UNIME DE EDUCA?O E COMUNICA?O,BA,Lauro de Freitas,13
FASS - FACULDADE SOCIAL SUL AMERICANA,BA,Lauro de Freitas,13
FACULDADE DE SANTA CRUZ DA BAHIA,BA,Itaberaba,12
"FACULDADE DE CI?CIAS HUMANAS,EXATAS E DA SA?E DO PIAU?",PI,Parna?a,12
FACULDADE EUG?IO GOMES,BA,Ipir?,12
Faculdade Uninassau Fortaleza Savanah,RN,Natal,11
FACULDADE DOM PEDRO II DE TECNOLOGIA,BA,Salvador,11
iCEV - Instituto de Ensino Superior,PI,Teresina,10
Faculdade do Maci? do Baturit?,CE,Maracana?,10
FACULDADE CNEC SANTO ?GELO,PB,Jo? Pessoa,10
EST?CIO FATERN - FACULDADE EST?CIO DO RIO GRANDE DO NORTE,RN,Natal,10
FACULDADE DE CI?CIAS JUR?ICAS E SOCIAIS DE MACEI?,AL,Macei?,10
FACULDADE DE CI?CIAS CONT?BEIS,BA,Salvador,9
FACULDADE S? VICENTE,AL,P? de A?car,9
FACULDADE INTERNACIONAL DO DELTA,PI,Parna?a,9
FACULDADE LOUREN? FILHO,CE,Fortaleza,9
INSTITUTO DE ENSINO SUPERIOR DE TERESINA,PI,Teresina,8
FACULDADE RAIMUNDO MARINHO DE PENEDO,AL,Penedo,8
FACULDADE DE ODONTOLOGIA DO RECIFE,PE,Recife,8
FACULDADE DE TECNOLOGIA DE TERESINA,PI,Teresina,8
FACULDADE DE CI?CIAS HUMANAS DO SERT? CENTRAL,PE,Salgueiro,8
FACULDADE MONTESSORIANO DE SALVADOR,BA,Salvador,7
FACULDADE CNEC ILHA DO GOVERNADOR,PB,Jo? Pessoa,7
FACULDADE JARDINS,SE,Aracaju,6
Faculdade Dom Pedro II de Jequi?,BA,Salvador,5
Faculdade de Tecnologia e Administra?o Edufor,CE,Fortaleza,5
FACULDADE DO SERT? DO PAJE?,PE,Afogados da Ingazeira,5
FACULDADE DE CI?CIAS E TECNOLOGIA DA BAHIA,BA,Capim Grosso,5
FACULDADE UNINABUCO S? LOUREN? DA MATA,PE,S? Louren? da Mata,4
FACULDADE S? TOMAZ DE AQUINO,BA,Salvador,4
CENTRO UNIVERSIT?RIO UNIVERSUS VERITAS,PB,Campina Grande,4
FACULDADE DE TECNOLOGIA DA PARA?A,PB,Jo? Pessoa,4
INSTITUTO DE ENSINO SUPERIOR SANTA CEC?IA,AL,Arapiraca,3
FACULDADE EST?CIO DE FEIRA DE SANTANA,BA,Feira de Santana,3
FACULDADE H?IO ROCHA,BA,Salvador,3
FACULDADE UNIRB - PIAU?,CE,Fortaleza,3
Faculdade CNEC Itaja?,PB,Jo? Pessoa,3
FACULDADE UNINASSAU PARNAMIRIM,RN,Natal,3
FACULDADE ANGLO-AMERICANO DE JO? PESSOA,PB,Jo? Pessoa,3
FACULDADE PIO DECIMO DE CANINDE DO SAO FRANCISCO,SE,Canind?de S? Francisco,3
Faculdade Vidal de Limoeiro,CE,Limoeiro do Norte,3
Faculdade Rebou?s de Campina Grande,PB,Campina Grande,2
FACULDADE CNEC ITABORA?,PB,Jo? Pessoa,2
FACULDADE DE TECNOLOGIA SENAI PERNAMBUCO,PE,Recife,2
Faculdade Est?io da Para?a,PB,Jo? Pessoa,2
FACULDADE DE ADMINISTRA?O E NEG?IOS,AL,Macei?,2
ESCOLA SUPERIOR DE SA?E DE ARCOVERDE,PE,Arcoverde,2
"Faculdade Brasileira de Ensino, Pesquisa e Extens?",PB,Jo? Pessoa,2
ESCOLA SUPERIOR DE AVIA?O CIVIL,PB,Campina Grande,2
FACULDADE CENECISTA DE CAPIVARI,PB,Jo? Pessoa,2
CENTRO DE ENSINO SUPERIOR DO VALE S? FRANCISCO,PE,Bel? do S? Francisco,2
"",PB,Patos,1
INSTITUTO SUPERIOR DE EDUCA?O DE CAXIAS,MA,Caxias,1
FACULDADE BRASILEIRA DE TECNOLOGIA-,BA,Salvador,1
FACULDADE CENECISTA DE SETE LAGOAS,PB,Jo? Pessoa,1
CENTRO UNIVERSIT?RIO FARIAS BRITO,CE,Fortaleza,1
INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS,AL,Macei?,1
FACULDADE UNINASSAU MARACANA?,PE,Recife,1
Faculdade Uninassau Olinda - Nassau Olinda,PE,Recife,1
FACULDADE DO SERT? BAIANO,BA,Monte Santo,1
"FACULDADE REGIONAL DE FILOSOFIA, CI?CIAS E LETRAS DE CANDEIAS",BA,Candeias,1
FACULDADE CAT?ICA DO RIO GRANDE DO NORTE,RN,Mossor?,1
FACULDADE LABORO,MA,S? Lu?,1
CENTRO UNIVERSIT?RIO UNICENTRO AGES,BA,Paripiranga,1
Faculdade de Ci?cias de Goiana,PE,Timba?ba,1
FACULDADE DE CI?CIAS CONT?BEIS DE RECIFE,PE,Olinda,1
"",MA,Pedreiras,1
FACULDADE INTERNACIONAL DA PARA?A,PB,Jo? Pessoa,1
FACULDADE EST?CIO DE JO? PESSOA - EST?CIO DE JO? PESSOA,PB,Jo? Pessoa,1
FACULDADE ADELMAR ROSADO,PI,Teresina,1
FACULDADE CNEC CAMPO LARGO,PB,Jo? Pessoa,1
Faculdade Metropolitana de Maracana?,CE,Fortaleza,1
FACULDADE DE TECNOLOGIA IBRATEC,PE,Recife,1
